AT_load_actual_entsoe_transparency,temperature_2m (°C),rain (mm),relative_humidity_2m (%),sunshine_duration (s),Hour,DayOfWeek,Month,Is_Weekend,Hour_sin,Hour_cos,Month_sin,Month_cos,Is_Holiday,Load_Lag_1h,Load_Lag_24h,Load_Lag_168h,Load_Rolling_Mean_24h,Temp_Rolling_Mean_24h
8603.0,-4.6,0.0,60,3600.0,8,4,4,0,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0,8570.0,9046.0,8299.0,7827.083333333333,-7.720833333333332
8566.0,-2.0,0.0,53,3600.0,9,4,4,0,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,0,8603.0,9126.0,8381.0,7808.625,-7.679166666666666
8322.0,-0.3,0.0,50,3600.0,10,4,4,0,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.4999999999999998,0,8566.0,8895.0,8018.0,7785.291666666667,-7.574999999999999
8173.0,1.4,0.0,45,3600.0,11,4,4,0,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.4999999999999998,0,8322.0,8799.0,7754.0,7761.416666666667,-7.437499999999999
7996.0,3.3,0.0,46,3600.0,12,4,4,0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,0,8173.0,8686.0,7576.0,7735.333333333333,-7.249999999999999
7924.0,3.2,0.0,49,3600.0,13,4,4,0,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.4999999999999998,0,7996.0,8601.0,7494.0,7706.583333333333,-6.958333333333333
7779.0,2.7,0.0,53,3600.0,14,4,4,0,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,0,7924.0,8449.0,7386.0,7678.375,-6.679166666666666
7836.0,0.9,0.0,66,0.0,15,4,4,0,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.4999999999999998,0,7779.0,8382.0,7480.0,7650.458333333333,-6.425
7889.0,0.4,0.0,70,414.97,16,4,4,0,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,0,7836.0,8414.0,7575.0,7627.708333333333,-6.224999999999999
7728.0,1.2,0.0,63,3600.0,17,4,4,0,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,0,7889.0,8215.0,7439.0,7605.833333333333,-6.041666666666665
7754.0,0.6,0.0,67,3527.48,18,4,4,0,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.4999999999999998,0,7728.0,8159.0,7359.0,7585.541666666667,-5.808333333333333
7290.0,0.2,0.0,68,0.0,19,4,4,0,-0.9659258262890684,0.2588190451025203,0.8660254037844387,-0.4999999999999998,0,7754.0,7616.0,6779.0,7568.666666666667,-5.533333333333332
