DATE_OF_DATA_POINT,LAG_DATA,ACTUAL_VALUE_HORIZON,PREDICTED_VALUE_HORIZON,MAPE_OF_THIS_DATA_POINT
2020-08-11 14:00:00+00:00,"[np.float64(0.6305355557747312), np.float64(0.6329026531216095), np.float64(0.6332971693460894), np.float64(0.6179110365913798), np.float64(0.5964099023572345), np.float64(0.5682019923069337), np.float64(0.5354571456751158), np.float64(0.4849590689417102), np.float64(0.45882236906992796), np.float64(0.42331590886675213), np.float64(0.41946937567807474), np.float64(0.40792977611204256), np.float64(0.4164118749383568), np.float64(0.4545813196567709), np.float64(0.5390077916954334), np.float64(0.6101193411579051), np.float64(0.6484860439885589), np.float64(0.6611105631719103), np.float64(0.6729460499063025), np.float64(0.6831048426866555), np.float64(0.6624913699575894), np.float64(0.6524312062333564), np.float64(0.6415820100601637), np.float64(0.6362560410296874)]","[np.float64(0.6313245882236906), np.float64(0.6325081368971299), np.float64(0.6334944274583292), np.float64(0.6191932143209389), np.float64(0.601538613275471), np.float64(0.5729361870006904), np.float64(0.5405858565933523), np.float64(0.4900877798599467), np.float64(0.46197849886576586), np.float64(0.43416510503994477), np.float64(0.4298254265706677), np.float64(0.41798993983627575)]","[np.float32(0.62522733), np.float32(0.6310024), np.float32(0.6270399), np.float32(0.6115911), np.float32(0.59957683), np.float32(0.5641495), np.float32(0.5331105), np.float32(0.4898953), np.float32(0.45918173), np.float32(0.42757505), np.float32(0.41628563), np.float32(0.40867645)]",1.1861499190711176
2020-08-11 15:00:00+00:00,"[np.float64(0.6329026531216095), np.float64(0.6332971693460894), np.float64(0.6179110365913798), np.float64(0.5964099023572345), np.float64(0.5682019923069337), np.float64(0.5354571456751158), np.float64(0.4849590689417102), np.float64(0.45882236906992796), np.float64(0.42331590886675213), np.float64(0.41946937567807474), np.float64(0.40792977611204256), np.float64(0.4164118749383568), np.float64(0.4545813196567709), np.float64(0.5390077916954334), np.float64(0.6101193411579051), np.float64(0.6484860439885589), np.float64(0.6611105631719103), np.float64(0.6729460499063025), np.float64(0.6831048426866555), np.float64(0.6624913699575894), np.float64(0.6524312062333564), np.float64(0.6415820100601637), np.float64(0.6362560410296874), np.float64(0.6313245882236906)]","[np.float64(0.6325081368971299), np.float64(0.6334944274583292), np.float64(0.6191932143209389), np.float64(0.601538613275471), np.float64(0.5729361870006904), np.float64(0.5405858565933523), np.float64(0.4900877798599467), np.float64(0.46197849886576586), np.float64(0.43416510503994477), np.float64(0.4298254265706677), np.float64(0.41798993983627575), np.float64(0.4240063122595917)]","[np.float32(0.63016593), np.float32(0.63010645), np.float32(0.6117333), np.float32(0.5913481), np.float32(0.56299984), np.float32(0.534257), np.float32(0.48489928), np.float32(0.45844734), np.float32(0.42582), np.float32(0.41691762), np.float32(0.4052089), np.float32(0.4176916)]",1.5003510106255424
2020-08-11 16:00:00+00:00,"[np.float64(0.6332971693460894), np.float64(0.6179110365913798), np.float64(0.5964099023572345), np.float64(0.5682019923069337), np.float64(0.5354571456751158), np.float64(0.4849590689417102), np.float64(0.45882236906992796), np.float64(0.42331590886675213), np.float64(0.41946937567807474), np.float64(0.40792977611204256), np.float64(0.4164118749383568), np.float64(0.4545813196567709), np.float64(0.5390077916954334), np.float64(0.6101193411579051), np.float64(0.6484860439885589), np.float64(0.6611105631719103), np.float64(0.6729460499063025), np.float64(0.6831048426866555), np.float64(0.6624913699575894), np.float64(0.6524312062333564), np.float64(0.6415820100601637), np.float64(0.6362560410296874), np.float64(0.6313245882236906), np.float64(0.6325081368971299)]","[np.float64(0.6334944274583292), np.float64(0.6191932143209389), np.float64(0.601538613275471), np.float64(0.5729361870006904), np.float64(0.5405858565933523), np.float64(0.4900877798599467), np.float64(0.46197849886576586), np.float64(0.43416510503994477), np.float64(0.4298254265706677), np.float64(0.41798993983627575), np.float64(0.4240063122595917), np.float64(0.4645428543248841)]","[np.float32(0.6241398), np.float32(0.60810375), np.float32(0.58800906), np.float32(0.5559951), np.float32(0.53314245), np.float32(0.48375142), np.float32(0.4537277), np.float32(0.42459533), np.float32(0.4129035), np.float32(0.39912355), np.float32(0.41034675), np.float32(0.44230327)]",2.632761310553014
2020-08-11 17:00:00+00:00,"[np.float64(0.6179110365913798), np.float64(0.5964099023572345), np.float64(0.5682019923069337), np.float64(0.5354571456751158), np.float64(0.4849590689417102), np.float64(0.45882236906992796), np.float64(0.42331590886675213), np.float64(0.41946937567807474), np.float64(0.40792977611204256), np.float64(0.4164118749383568), np.float64(0.4545813196567709), np.float64(0.5390077916954334), np.float64(0.6101193411579051), np.float64(0.6484860439885589), np.float64(0.6611105631719103), np.float64(0.6729460499063025), np.float64(0.6831048426866555), np.float64(0.6624913699575894), np.float64(0.6524312062333564), np.float64(0.6415820100601637), np.float64(0.6362560410296874), np.float64(0.6313245882236906), np.float64(0.6325081368971299), np.float64(0.6334944274583292)]","[np.float64(0.6191932143209389), np.float64(0.601538613275471), np.float64(0.5729361870006904), np.float64(0.5405858565933523), np.float64(0.4900877798599467), np.float64(0.46197849886576586), np.float64(0.43416510503994477), np.float64(0.4298254265706677), np.float64(0.41798993983627575), np.float64(0.4240063122595917), np.float64(0.4645428543248841), np.float64(0.5487720682513069)]","[np.float32(0.61460686), np.float32(0.59685), np.float32(0.56616586), np.float32(0.5379808), np.float32(0.49122652), np.float32(0.46220356), np.float32(0.42876506), np.float32(0.4204023), np.float32(0.40550613), np.float32(0.4187609), np.float32(0.45181805), np.float32(0.5126231)]",1.7042574523477148
2020-08-11 18:00:00+00:00,"[np.float64(0.5964099023572345), np.float64(0.5682019923069337), np.float64(0.5354571456751158), np.float64(0.4849590689417102), np.float64(0.45882236906992796), np.float64(0.42331590886675213), np.float64(0.41946937567807474), np.float64(0.40792977611204256), np.float64(0.4164118749383568), np.float64(0.4545813196567709), np.float64(0.5390077916954334), np.float64(0.6101193411579051), np.float64(0.6484860439885589), np.float64(0.6611105631719103), np.float64(0.6729460499063025), np.float64(0.6831048426866555), np.float64(0.6624913699575894), np.float64(0.6524312062333564), np.float64(0.6415820100601637), np.float64(0.6362560410296874), np.float64(0.6313245882236906), np.float64(0.6325081368971299), np.float64(0.6334944274583292), np.float64(0.6191932143209389)]","[np.float64(0.601538613275471), np.float64(0.5729361870006904), np.float64(0.5405858565933523), np.float64(0.4900877798599467), np.float64(0.46197849886576586), np.float64(0.43416510503994477), np.float64(0.4298254265706677), np.float64(0.41798993983627575), np.float64(0.4240063122595917), np.float64(0.4645428543248841), np.float64(0.5487720682513069), np.float64(0.6188973271525791)]","[np.float32(0.6025616), np.float32(0.5728314), np.float32(0.5431125), np.float32(0.49305236), np.float32(0.46600273), np.float32(0.4319086), np.float32(0.41820246), np.float32(0.4023665), np.float32(0.41293025), np.float32(0.44769526), np.float32(0.51155704), np.float32(0.5739278)]",2.448322164508751
2020-08-11 19:00:00+00:00,"[np.float64(0.5682019923069337), np.float64(0.5354571456751158), np.float64(0.4849590689417102), np.float64(0.45882236906992796), np.float64(0.42331590886675213), np.float64(0.41946937567807474), np.float64(0.40792977611204256), np.float64(0.4164118749383568), np.float64(0.4545813196567709), np.float64(0.5390077916954334), np.float64(0.6101193411579051), np.float64(0.6484860439885589), np.float64(0.6611105631719103), np.float64(0.6729460499063025), np.float64(0.6831048426866555), np.float64(0.6624913699575894), np.float64(0.6524312062333564), np.float64(0.6415820100601637), np.float64(0.6362560410296874), np.float64(0.6313245882236906), np.float64(0.6325081368971299), np.float64(0.6334944274583292), np.float64(0.6191932143209389), np.float64(0.601538613275471)]","[np.float64(0.5729361870006904), np.float64(0.5405858565933523), np.float64(0.4900877798599467), np.float64(0.46197849886576586), np.float64(0.43416510503994477), np.float64(0.4298254265706677), np.float64(0.41798993983627575), np.float64(0.4240063122595917), np.float64(0.4645428543248841), np.float64(0.5487720682513069), np.float64(0.6188973271525791), np.float64(0.66189959562087)]","[np.float32(0.5769918), np.float32(0.5507482), np.float32(0.5021368), np.float32(0.46823305), np.float32(0.43515745), np.float32(0.42301512), np.float32(0.40256897), np.float32(0.409601), np.float32(0.43823355), np.float32(0.5036295), np.float32(0.5669247), np.float32(0.6043603)]",3.856680201922801
2020-08-11 20:00:00+00:00,"[np.float64(0.5354571456751158), np.float64(0.4849590689417102), np.float64(0.45882236906992796), np.float64(0.42331590886675213), np.float64(0.41946937567807474), np.float64(0.40792977611204256), np.float64(0.4164118749383568), np.float64(0.4545813196567709), np.float64(0.5390077916954334), np.float64(0.6101193411579051), np.float64(0.6484860439885589), np.float64(0.6611105631719103), np.float64(0.6729460499063025), np.float64(0.6831048426866555), np.float64(0.6624913699575894), np.float64(0.6524312062333564), np.float64(0.6415820100601637), np.float64(0.6362560410296874), np.float64(0.6313245882236906), np.float64(0.6325081368971299), np.float64(0.6334944274583292), np.float64(0.6191932143209389), np.float64(0.601538613275471), np.float64(0.5729361870006904)]","[np.float64(0.5405858565933523), np.float64(0.4900877798599467), np.float64(0.46197849886576586), np.float64(0.43416510503994477), np.float64(0.4298254265706677), np.float64(0.41798993983627575), np.float64(0.4240063122595917), np.float64(0.4645428543248841), np.float64(0.5487720682513069), np.float64(0.6188973271525791), np.float64(0.66189959562087), np.float64(0.6772857283755793)]","[np.float32(0.5481516), np.float32(0.5016527), np.float32(0.4691139), np.float32(0.4314711), np.float32(0.41843247), np.float32(0.3994396), np.float32(0.4021239), np.float32(0.4230153), np.float32(0.47251952), np.float32(0.5306724), np.float32(0.5727393), np.float32(0.5955996)]",6.7328939709551445
2020-08-11 21:00:00+00:00,"[np.float64(0.4849590689417102), np.float64(0.45882236906992796), np.float64(0.42331590886675213), np.float64(0.41946937567807474), np.float64(0.40792977611204256), np.float64(0.4164118749383568), np.float64(0.4545813196567709), np.float64(0.5390077916954334), np.float64(0.6101193411579051), np.float64(0.6484860439885589), np.float64(0.6611105631719103), np.float64(0.6729460499063025), np.float64(0.6831048426866555), np.float64(0.6624913699575894), np.float64(0.6524312062333564), np.float64(0.6415820100601637), np.float64(0.6362560410296874), np.float64(0.6313245882236906), np.float64(0.6325081368971299), np.float64(0.6334944274583292), np.float64(0.6191932143209389), np.float64(0.601538613275471), np.float64(0.5729361870006904), np.float64(0.5405858565933523)]","[np.float64(0.4900877798599467), np.float64(0.46197849886576586), np.float64(0.43416510503994477), np.float64(0.4298254265706677), np.float64(0.41798993983627575), np.float64(0.4240063122595917), np.float64(0.4645428543248841), np.float64(0.5487720682513069), np.float64(0.6188973271525791), np.float64(0.66189959562087), np.float64(0.6772857283755793), np.float64(0.6906006509517704)]","[np.float32(0.5002445), np.float32(0.4679847), np.float32(0.43422347), np.float32(0.41522056), np.float32(0.3999395), np.float32(0.40260702), np.float32(0.42871127), np.float32(0.48017833), np.float32(0.5332646), np.float32(0.57648575), np.float32(0.6051257), np.float32(0.62754047)]",6.90734530671889
2020-08-11 22:00:00+00:00,"[np.float64(0.45882236906992796), np.float64(0.42331590886675213), np.float64(0.41946937567807474), np.float64(0.40792977611204256), np.float64(0.4164118749383568), np.float64(0.4545813196567709), np.float64(0.5390077916954334), np.float64(0.6101193411579051), np.float64(0.6484860439885589), np.float64(0.6611105631719103), np.float64(0.6729460499063025), np.float64(0.6831048426866555), np.float64(0.6624913699575894), np.float64(0.6524312062333564), np.float64(0.6415820100601637), np.float64(0.6362560410296874), np.float64(0.6313245882236906), np.float64(0.6325081368971299), np.float64(0.6334944274583292), np.float64(0.6191932143209389), np.float64(0.601538613275471), np.float64(0.5729361870006904), np.float64(0.5405858565933523), np.float64(0.4900877798599467)]","[np.float64(0.46197849886576586), np.float64(0.43416510503994477), np.float64(0.4298254265706677), np.float64(0.41798993983627575), np.float64(0.4240063122595917), np.float64(0.4645428543248841), np.float64(0.5487720682513069), np.float64(0.6188973271525791), np.float64(0.66189959562087), np.float64(0.6772857283755793), np.float64(0.6906006509517704), np.float64(0.7053950093697603)]","[np.float32(0.4592667), np.float32(0.42834368), np.float32(0.41567373), np.float32(0.40108532), np.float32(0.40236226), np.float32(0.41994762), np.float32(0.46534365), np.float32(0.5098609), np.float32(0.5434397), np.float32(0.57233554), np.float32(0.59133106), np.float32(0.6071184)]",9.874064293644674
2020-08-11 23:00:00+00:00,"[np.float64(0.42331590886675213), np.float64(0.41946937567807474), np.float64(0.40792977611204256), np.float64(0.4164118749383568), np.float64(0.4545813196567709), np.float64(0.5390077916954334), np.float64(0.6101193411579051), np.float64(0.6484860439885589), np.float64(0.6611105631719103), np.float64(0.6729460499063025), np.float64(0.6831048426866555), np.float64(0.6624913699575894), np.float64(0.6524312062333564), np.float64(0.6415820100601637), np.float64(0.6362560410296874), np.float64(0.6313245882236906), np.float64(0.6325081368971299), np.float64(0.6334944274583292), np.float64(0.6191932143209389), np.float64(0.601538613275471), np.float64(0.5729361870006904), np.float64(0.5405858565933523), np.float64(0.4900877798599467), np.float64(0.46197849886576586)]","[np.float64(0.43416510503994477), np.float64(0.4298254265706677), np.float64(0.41798993983627575), np.float64(0.4240063122595917), np.float64(0.4645428543248841), np.float64(0.5487720682513069), np.float64(0.6188973271525791), np.float64(0.66189959562087), np.float64(0.6772857283755793), np.float64(0.6906006509517704), np.float64(0.7053950093697603), np.float64(0.688134924548772)]","[np.float32(0.4365772), np.float32(0.4217423), np.float32(0.40330756), np.float32(0.3982547), np.float32(0.41585615), np.float32(0.4561528), np.float32(0.50568306), np.float32(0.53971523), np.float32(0.56157446), np.float32(0.5771211), np.float32(0.5818227), np.float32(0.576743)]",11.946255708507053
